SiteNumber,Upscaling Factor,Control Metric (m),Time (s),Nb Simu Per Hour
24,365,0.360081473799469,194,18.5567010309278
24,550,0.527697964993193,117,30.7692307692308
24,640,0.454943806266862,92,39.1304347826087
24,730,0.526406285937333,108,33.3333333333333
24,1000,0.50986564413793,86,41.8604651162791
24,1500,0.610719650514105,64,56.25
24,2000,0.692808321011589,54,66.6666666666667
24,2250,0.618003759265066,49,73.4693877551021
24,3000,0.667958322537182,40,90
24,3182,0.694781900280508,42,85.7142857142857
24,3652,0.682757832724479,51,70.5882352941177
25,1,0,41137,0.0875124583708097
25,2,0.0027349948639427,25212,0.14278914802475
25,7,0.0113878859696152,11463,0.314053912588328
25,15,0.0187211426933887,6985,0.515390121689334
25,21,0.0215734968920435,5940,0.606060606060606
25,30,0.0289246948751953,4081,0.882136731193335
25,45,0.041102955397555,4521,0.79628400796284
25,50,0.0445306891466073,4375,0.822857142857143
25,60,0.0526636854739381,4304,0.836431226765799
25,75,0.0590759045912023,3746,0.961025093432995
25,90,0.0734978659430122,3934,0.915099135739705
25,100,0.0761329268533129,3288,1.09489051094891
25,125,0.0940222321495014,3111,1.15718418514947
25,150,0.103940346428601,2794,1.28847530422334
25,182,0.137609810009888,2423,1.48576145274453
25,200,0.123191269226788,2329,1.54572778016316
25,250,0.151227080936505,1918,1.87695516162669
25,300,0.160270580067791,1556,2.31362467866324
25,330,0.158143551627064,1402,2.56776034236805
25,365,0.158611460044714,1569,2.29445506692161
25,550,0.189779790878735,960,3.75
25,640,0.182544903188626,732,4.91803278688525
25,730,0.194033943631825,801,4.49438202247191
25,1000,0.191544657581343,700,5.14285714285714
25,1500,0.215083046914738,476,7.56302521008403
